E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_186.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_186.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_186.jpg,0,0,0,2.867156E-06
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_277.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_277.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_277.jpg,0,0,0,1.344594E-05
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_369.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_369.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_369.jpg,0,0,0,2.800712E-06
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_462.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_462.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_462.jpg,0,0,0,1.331257E-05
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_554.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_554.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_554.jpg,0,0,0,6.222412E-07
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_655.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_655.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_655.jpg,0,0.2086571,0,0.06937279
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_748.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_748.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_748.jpg,0,0.4621903,0,0.524286
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_840.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_840.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_840.jpg,0,0.7608199,0,1.276402
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_53_933.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_53_933.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_53_933.jpg,-0.15,1,0,2.125246
E:\AI\sdcar\data\IMG\center_2017_06_23_08_16_54_018.jpg,E:\AI\sdcar\data\IMG\left_2017_06_23_08_16_54_018.jpg,E:\AI\sdcar\data\IMG\right_2017_06_23_08_16_54_018.jpg,0,1,0,3.275461
